gender,num_of_module_created,num_of_modules_thirty_sec,num_of_problens,num_of_video,num_of_problem_uploads,average_grade,seventy_uploads,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,Grand_Total
1,71,20,36,11,3.0,1.0,0,0,0,0,0,0,0,0,1,1,1,72
2,31,22,11,7,6.0,1.0,0,0,0,0,0,0,0,0,0,0,1,32
1,157,126,78,24,60.0,1.0,0,1,1,0,0,1,1,1,1,1,1,158
1,19,8,7,3,1.0,0.5,0,0,0,0,0,0,0,0,0,0,1,20
1,113,76,57,20,30.0,0.94,0,1,0,0,0,0,0,0,1,1,1,114
1,173,147,86,31,64.0,1.0,1,1,1,0,0,1,1,1,1,1,1,174
1,4,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,5
2,108,78,55,19,30.0,1.0,0,1,0,0,0,0,0,0,1,1,1,109
1,30,10,11,4,2.0,1.0,0,0,0,0,0,0,1,0,0,0,1,31
1,173,139,86,30,60.0,1.0,0,1,1,0,0,1,1,1,1,1,1,174
1,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3
2,16,4,4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,17
1,172,117,87,25,51.0,1.0,0,1,1,0,0,1,1,1,1,1,1,173
1,21,8,6,3,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,22
1,145,12,86,3,4.0,1.0,0,1,1,0,0,1,1,1,1,1,1,146
1,18,7,4,3,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,19
1,31,15,11,4,7.0,1.0,0,0,0,0,0,0,0,0,0,0,1,32
1,13,3,7,1,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,14
1,4,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,5
1,3,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4
1,18,4,4,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,19
1,22,16,7,4,4.0,1.0,0,0,0,0,0,0,0,0,0,0,1,23
2,35,5,18,2,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,36
1,106,82,55,20,36.0,1.0,0,1,0,0,0,0,0,0,1,1,1,107
1,19,9,4,2,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,20
2,88,35,44,15,9.0,0.86,0,1,0,0,0,0,0,0,1,1,1,89
2,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3
1,29,18,11,5,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0,30
1,25,7,7,3,1.0,1.0,0,0,0,0,0,0,1,0,0,0,1,26
2,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3
1,57,16,25,2,1.0,0.12,0,0,0,0,0,0,0,0,0,0,1,58
1,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3
1,23,13,7,5,3.0,1.0,0,0,0,0,0,0,0,0,0,0,1,24
1,3,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4
2,27,13,7,6,1.0,1.0,0,0,0,0,0,0,1,0,0,0,1,28
1,14,4,5,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,15
1,105,58,55,10,24.0,0.95,0,1,1,0,0,0,1,0,1,1,1,106
1,7,2,2,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,8
1,13,5,2,2,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,14
1,73,60,36,13,27.0,1.0,0,1,0,0,0,0,0,0,1,1,1,74
1,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3
1,42,32,19,5,15.0,0.98,0,0,0,0,0,0,0,0,0,1,1,43
1,7,1,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,8
1,23,15,7,4,4.0,1.0,0,0,0,0,0,0,0,0,0,0,1,24
2,50,32,22,8,11.0,1.0,0,0,0,0,0,0,1,0,1,1,1,51
2,14,5,4,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,15
2,23,8,7,4,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,24
1,23,8,10,4,2.0,0.5,0,0,0,0,0,1,0,0,0,0,0,24
1,28,7,11,0,3.0,1.0,0,0,0,0,0,0,0,0,0,1,0,29
1,28,10,11,4,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,29
1,150,120,75,26,54.0,1.0,0,1,0,0,0,1,0,1,1,1,1,151
1,175,141,87,28,64.0,1.0,1,1,1,0,0,1,1,1,1,1,1,178
1,155,133,78,22,67.0,1.0,1,1,1,0,0,1,0,1,1,1,1,156
1,22,13,5,3,3.0,1.0,0,0,0,0,0,0,1,0,0,0,1,23
1,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3
1,43,3,23,1,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,44
